Iteration 0
epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eval_cost,0.5049202593775195,0.4309337771855041,0.38952012412044756,0.3540067558182809,0.377487849971202,0.3408916927702819,0.3271965813254728,0.3196378824007382,0.3252396319908987,0.33070134000121526,0.3157380755974863,0.34068580614764116,0.3168762216059805,0.3343128768117769,0.36567753946709813,0.31580683065883786,0.32524502883498346,0.3185015889532308,0.34095146782356334,0.31386970745372805,0.3324298762986565,0.3092298770858119,0.322023669898851,0.33843574263980125,0.3316038799401074,0.3138638572357382,0.3170591137741271,0.321165652826164,0.31838595884135057,0.3212867733925089,0.32894637591412845,0.3382993120845532,0.31406685216790947,0.32051705971113176,0.3280061130557273,0.3175570697599278,0.3097506223741041,0.3553755162849762,0.32362637916642256,0.33651471116518344,0.33611611758577764,0.31870157581218117,0.32542564422748194,0.33742634507646396,0.3170237299862147,0.34470415675360133,0.34595758577481,0.37041386243308694,0.3173129687350445,0.3195047067442743,0.3144516657332982,0.32542137698042334,0.32962673467378995,0.32172821672857954,0.3168207014925803,0.3305141859639662,0.30974154558077555,0.3188153975760406,0.3280575039878891,0.3431551711110502,0.3202181584096403,0.3294997405070768,0.32949239519074774,0.3359732506172674,0.3193901240839188,0.3189497637866155,0.31724293600219144,0.3322910232025847,0.33324142579101873,0.3317728602443274,0.32737460828505516,0.3263070763128421,0.32518195688564133,0.32774446004451485,0.3168051700148807,0.30785373975484037,0.3132973994934475,0.3249297533429384,0.31168830360154,0.3295997044435072,0.32837189649030385,0.32143399931250033,0.3227452638826286,0.31370045231005717,0.3435394616352423,0.33287404170847107,0.3294212173813241,0.3520674701833257,0.33140841446144137,0.3174279546191132,0.3243695560868888,0.3439393356525356,0.32720256139508974,0.3237490791968979,0.32782684536486245,0.33969430575352305,0.3244297845984656,0.33459274347455287,0.3397762157951414,0.319442857179052
train_cost,1.0993034361607192,0.93824909004551,0.8920259312160094,0.8213397339898678,0.8322214195851133,0.7810202144086419,0.7590500147263833,0.7401224828293903,0.7507102585320741,0.7418748386051076,0.7168636538817338,0.7461785330106516,0.706147667403423,0.7439835393883577,0.7523643082946716,0.707391568179221,0.6962799586739135,0.7060212168975725,0.7172995479310071,0.6869304494772508,0.6962701495827371,0.6857078365850311,0.6849580061756829,0.6966359151094977,0.6859958253195495,0.6759813625918938,0.6739487237749598,0.6902737614084168,0.6729005905598968,0.668519598155339,0.6900034327349123,0.6847699177888026,0.6662513349310838,0.6762790173010511,0.6620263909185808,0.6686554812990931,0.6601519312289311,0.7074702039135986,0.6632829495743636,0.6612690415929006,0.6690354241764481,0.6678759648581845,0.6582839758374429,0.6772382341167531,0.6446215792600296,0.6734441199722749,0.6780000717100599,0.7062208482612924,0.6588163542422795,0.64620045915054,0.6523668490026386,0.6595812549099097,0.6695349155118092,0.6613201412150859,0.6447352087066974,0.6512160398231069,0.6380605486048937,0.6659551085502482,0.6689994280152718,0.6696435323615678,0.6335064819190481,0.6651106450764901,0.6481404605244298,0.6608702620827872,0.6459753649351098,0.638050759548186,0.6388805521894574,0.6461216790297852,0.6556656559993507,0.6475426706173555,0.6511633568634257,0.6509138645009288,0.6527331159246531,0.6523635020622612,0.6335219096755322,0.6274772589690559,0.6383900456132906,0.6467870998818345,0.635914367010408,0.6441524230116574,0.6445343900969445,0.6357014661336692,0.6266650513617069,0.6378334750405146,0.6402896623820451,0.6399875107706192,0.6460334910710757,0.6537172395705229,0.640646907611615,0.6336140481021438,0.6565166505392759,0.6338515871822612,0.6237669280040833,0.6393529675099856,0.6376189855386926,0.6652202893567772,0.6301640819195561,0.6419159448360194,0.6450373882742886,0.6339872335286652

epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eval_acc,0.929,0.9326,0.9379,0.9425,0.9391,0.9453,0.9484,0.9488,0.9479,0.948,0.9488,0.9445,0.9471,0.9462,0.9387,0.9498,0.947,0.9491,0.9439,0.9473,0.9441,0.9495,0.9483,0.9463,0.947,0.9477,0.9482,0.9455,0.9492,0.9456,0.9469,0.9449,0.9484,0.9481,0.9463,0.9462,0.95,0.9418,0.9472,0.9461,0.9453,0.9478,0.9492,0.9447,0.9478,0.9438,0.9447,0.937,0.9471,0.9481,0.9487,0.9468,0.9469,0.9469,0.9473,0.9483,0.9498,0.9499,0.9464,0.944,0.9474,0.9465,0.9461,0.9453,0.9479,0.9483,0.9484,0.9459,0.9452,0.9462,0.9463,0.9467,0.9445,0.9466,0.9486,0.9492,0.9479,0.9485,0.948,0.9452,0.9453,0.9475,0.9451,0.9478,0.9439,0.9464,0.946,0.9419,0.9442,0.9486,0.9468,0.9431,0.9455,0.9446,0.948,0.9434,0.947,0.9464,0.9432,0.9467
train_acc,0.79938,0.830328,0.839508,0.852608,0.850252,0.861124,0.865908,0.869752,0.86914,0.87028,0.874148,0.867316,0.876872,0.868948,0.867512,0.876728,0.878704,0.8757,0.874176,0.880508,0.87796,0.880968,0.880232,0.878992,0.881096,0.882212,0.882688,0.878172,0.882912,0.882948,0.878752,0.879788,0.884148,0.881532,0.883836,0.883524,0.885084,0.874444,0.885076,0.884276,0.882876,0.882044,0.884644,0.88154,0.887652,0.881748,0.880976,0.87484,0.884528,0.887676,0.88554,0.884508,0.882232,0.883348,0.886828,0.886692,0.888744,0.883092,0.882436,0.882376,0.88924,0.882796,0.88624,0.883652,0.886096,0.88912,0.887916,0.886912,0.885508,0.887608,0.88658,0.886716,0.885688,0.886424,0.889052,0.890512,0.887552,0.886484,0.88848,0.887852,0.887308,0.888808,0.891352,0.887732,0.887916,0.888116,0.886944,0.885168,0.887752,0.889348,0.88482,0.890164,0.891528,0.887844,0.88826,0.8827,0.88984,0.887068,0.885736,0.888872

test_acc,0.9467

epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
w_change_0,3.2662153057134273,4.707717501182138,5.743519044189308,6.599656614213717,7.339009685812639,7.995699867538543,8.598510245433067,9.146099659899116,9.659328321836385,10.142453840396877,10.605861404235,11.041566807701638,11.452634291518471,11.850414579810371,12.229288041908276,12.593729286590246,12.947009215555356,13.289071198050946,13.618310047695777,13.942249504867323,14.252043229615023,14.55939960727441,14.852521931121286,15.138038526133826,15.418892293633577,15.691225023354459,15.962765087950775,16.224606510213498,16.481911526298084,16.740595001821053,16.992587633571375,17.23445246939595,17.47740170986502,17.712002636954942,17.939778005597837,18.16808899769006,18.388984961883338,18.610788255259905,18.829258273588465,19.042416474340666,19.25320332664087,19.461341053876676,19.665607350973097,19.867659028294806,20.068451073807722,20.264575639149747,20.46004880291385,20.655296376478727,20.845598963802992,21.033494632832195,21.21933782227855,21.40339920828031,21.583626039187443,21.764433147275405,21.94394655134492,22.120451499351834,22.29592817515251,22.467367228293643,22.64023513735137,22.811709270567352,22.981446670719873,23.148205095906107,23.312547792481016,23.4772911884042,23.63934527342172,23.800570041546003,23.960657222244876,24.120025876768192,24.277050717502476,24.4344053293646,24.587934016471817,24.74108755111048,24.893288682043824,25.045110272214814,25.194925221110747,25.344738862912116,25.49147469398189,25.634695417548034,25.77862671718847,25.922953417024235,26.06594603427663,26.20822033614805,26.34839414678346,26.487609127244944,26.62781212920005,26.765287312893282,26.902635910186852,27.04062026709649,27.176327027851965,27.312010789058412,27.444595341754823,27.57793550547549,27.71153444306951,27.842440118202834,27.971926150183048,28.10115056998454,28.231123717833942,28.35995897984676,28.48782297429385,28.616363692481166
w_change_1,4.41559328521786,5.911711496288862,6.941878324421769,7.787611097318166,8.51323632842267,9.161180998337525,9.7657964676623,10.323508346592153,10.851567155071018,11.352925701790298,11.84215374998541,12.296132846464282,12.726779579443832,13.142779757351475,13.541413472988166,13.923314958032378,14.295783534278856,14.6595580096329,15.012322580372638,15.3557651243939,15.692837575081981,16.01862138624271,16.338881892435534,16.64959056780925,16.95336153927193,17.252014164205594,17.545181144543353,17.83231112474005,18.11684363432264,18.398968476437734,18.671005638559333,18.938390455725227,19.207292397615745,19.466565146384806,19.72091613303158,19.975563444643015,20.224267206090424,20.475361268030674,20.717971618345473,20.955056137260787,21.190718500734288,21.42682091734087,21.659999692610576,21.89216972189578,22.121498293919082,22.346341528835513,22.56950078954899,22.791790059121695,23.010829595610993,23.22705723585997,23.443897973474716,23.656437087634696,23.865855103168258,24.074128184974153,24.279359190853707,24.484264986686185,24.687545359121966,24.886359895570788,25.08873238176624,25.289764268241928,25.485107669973022,25.680204632281907,25.875536575368905,26.069302805551576,26.259686482940644,26.44888392087524,26.63804195960441,26.82640764630811,27.01362772418482,27.197604755918583,27.379795864038535,27.562571103241396,27.743899362140372,27.92364235402832,28.104084652246076,28.283675284440122,28.45848486246809,28.631489913712127,28.802794228998906,28.975790289400145,29.148770130060242,29.318527991704016,29.486271750191722,29.654502353812155,29.82140207734639,29.986969271650405,30.150362429544373,30.313075156401016,30.475892955452938,30.64063528956391,30.80311539501676,30.962777876813885,31.12337629685761,31.283365221381008,31.443406805393554,31.596860682101063,31.752533831027243,31.9056367660613,32.05748639707212,32.21175352548275
